Component ID,Component Name*,Description,Comment,Quality,Location,PA,In Cubicle,Controller,Mnemonic Name,,,,,,TO BE ADDED,,
D1-N9-GAD0-COMP-060,55GAD0-MZL-2403,Low limit switch,A40 M2 Assembly limit switch,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
D1-N9-GAD0-COMP-061,55GAD0-MZH-2403,high limit switch,A40 M2 Assembly limit switch,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
D1-N9-GAD0-COMP-062,55GAD0-GM-2401,Motor,A40 M2 motor,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-CMO-9001,,,,,,,,,
D1-N9-GAD0-COMP-063,55GAD0-GM-2402,Motor,A40 M2 motor,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-CMO-9001,,,,,,,,,
D1-N9-GAD0-COMP-064,55GAD0-GM-2403,Motor,A40 M2 motor,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-CMO-9003,,,,,,,,,
D1-N9-GAD0-COMP-065,55GAD0-MTE-2201,Thermocouple: N Type,BOL structure thermocouple,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
D1-N9-GAD0-COMP-066,55GAD0-MTE-2202,Thermocouple: N Type,BOL structure thermocouple,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
D1-N9-GAD0-COMP-067,55GAD0-MTE-2501,Thermocouple: N Type,A60 M2 Assembly thermocouple,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
D1-N9-GAD0-COMP-068,55GAD0-MTE-2502,Thermocouple: N Type,A60 M2 Assembly thermocouple,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
D1-N9-GAD0-COMP-069,55GAD0-MZH-2501,high limit switch,A60 M2 Assembly limit switch,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
D1-N9-GAD0-COMP-070,55GAD0-MZL-2501,Low limit switch,A60 M2 Assembly limit switch,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
D1-N9-GAD0-COMP-071,55GAD0-MZH-2502,high limit switch,A60 M2 Assembly limit switch,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
D1-N9-GAD0-COMP-072,55GAD0-MZL-2502,Low limit switch,A60 M2 Assembly limit switch,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
D1-N9-GAD0-COMP-073,55GAD0-GM-2501,Motor,A60 M2 motor,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-CMO-9001,,,,,,,,,
D1-N9-GAD0-COMP-074,55GAD0-GM-2502,Motor,A60 M2 motor,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-CMO-9001,,,,,,,,,
D1-N9-GAD0-COMP-075,55GAD0-MTE-2503,Thermocouple: N Type,A60 M1 Assembly thermocouple,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
D1-N9-GAD0-COMP-076,55GAD0-MTE-2504,Thermocouple: N Type,A60 M1 Assembly thermocouple,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
D1-N9-GAD0-COMP-077,55GAD0-MZH-2503,high limit switch,A60 M1 Assembly limit switch,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
D1-N9-GAD0-COMP-078,55GAD0-MZL-2503,Low limit switch,A60 M1 Assembly limit switch,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
D1-N9-GAD0-COMP-079,55GAD0-MZH-2504,high limit switch,A60 M1 Assembly limit switch,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
D1-N9-GAD0-COMP-080,55GAD0-MZL-2504,Low limit switch,A60 M1 Assembly limit switch,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
D1-N9-GAD0-COMP-081,55GAD0-GM-2503,Motor,A60 M1 motor,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-CMO-9001,,,,,,,,,
D1-N9-GAD0-COMP-082,55GAD0-GM-2504,Motor,A60 M21 motor,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-CMO-9001,,,,,,,,,
D1-N9-GAD0-COMP-083,55GAD0-MZS-3301,limit switch,Filter Wheel home switch,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-CMO-9001,,,,,,,,,
D1-N9-GAD0-COMP-084,55GAD0-MZS-3302,limit switch,Filter Wheel home switch,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-CMO-9001,,,,,,,,,
D1-N9-GAD0-COMP-085,55GAD0-MZS-3303,limit switch,Filter Wheel home switch,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-CMO-9001,,,,,,,,,
D1-N9-GAD0-COMP-086,55GAD0-MZS-3304,limit switch,Filter Wheel home switch,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-CMO-9001,,,,,,,,,
D1-N9-GAD0-COMP-087,55GAD0-MZS-3305,limit switch,Filter Wheel home switch,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-CMO-9001,,,,,,,,,
D1-N9-GAD0-COMP-088,55GAD0-MZS-3306,limit switch,Filter Wheel home switch,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-CMO-9001,,,,,,,,,
D1-N9-GAD0-COMP-089,55GAD0-MZH-3202,limit switch,Filter Wheel home switch,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-CMO-9001,,,,,,,,,
D1-N9-GAD0-COMP-090,55GAD0-MZL-3202,limit switch,Filter Wheel home switch,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-CMO-9001,,,,,,,,,
D1-N9-GAD0-COMP-091,55GAD0-MZH-3204,limit switch,Filter Wheel home switch,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-CMO-9001,,,,,,,,,
D1-N9-GAD0-COMP-092,55GAD0-MZL-3204,limit switch,Filter Wheel home switch,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-CMO-9001,,,,,,,,,
