Signal ID,Signal Name,Component*,Description,Type,Direction,Logic,Range,I&C Cubicle,Quality,Component Destination*,Mnemonic Name,,
D1-N9-GAA0-SIG-072,55GAA0-MTE-2101:TE-CRC,55GAA0-MTE-2101,IOT structure thermocouple,A,O,P,T/C Type N,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-073,55GAA0-MTE-2102:TE-CRC,55GAA0-MTE-2102,IOT structure thermocouple,A,O,P,T/C Type N,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-074,55GAA0-MTE-2103:TE-CRC,55GAA0-MTE-2103,IOT structure thermocouple,A,O,P,T/C Type N,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-075,55GAA0-MTE-2104:TE-CRC,55GAA0-MTE-2104,IOT structure thermocouple,A,O,P,T/C Type N,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-076,55GAA0-MTE-2105:TE-CRC,55GAA0-MTE-2105,A50 assembly thermocouple,A,O,P,T/C Type N,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-077,55GAA0-MTE-2106:TE-CRC,55GAA0-MTE-2106,A50 assembly thermocouple,A,O,P,T/C Type N,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-078,55GAA0-MTE-2107:TE-CRC,55GAA0-MTE-2107,A50 assembly thermocouple,A,O,P,T/C Type N,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-079,55GAA0-MTE-2108:TE-CRC,55GAA0-MTE-2108,A50 assembly thermocouple,A,O,P,T/C Type N,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-080,55GAA0-MTE-2109:TE-CRC,55GAA0-MTE-2109,A50 assembly thermocouple,A,O,P,T/C Type N,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-081,55GAA0-MTE-2110:TE-CRC,55GAA0-MTE-2110,A50 assembly thermocouple,A,O,P,T/C Type N,55GAA0-CU-7301,unconfirmed,,,,
