Signal ID,Signal Name,Component*,Description,Type,Direction,Logic,Range,I&C Cubicle,Quality,Component Destination*,Mnemonic Name,,
D1-N9-GAD0-SIG-124,55GAD0-MZL-4304:ZL-CRC,55GAD0-MZL-4304,Pneumatic shutter limit switch,D,O,P,24 V DC,55GAD0-CU-7301,unconfirmed,,,,
D1-N9-GAD0-SIG-125,55GAD0-MZH-4304:ZH-CRC,55GAD0-MZH-4304,Pneumatic shutter limit switch,D,O,P,24 V DC,55GAD0-CU-7301,unconfirmed,,,,
D1-N9-GAD0-SIG-126,55GAD0-MZL-4305:ZL-CRC,55GAD0-MZL-4305,Pneumatic shutter limit switch,D,O,P,24 V DC,55GAD0-CU-7301,unconfirmed,,,,
D1-N9-GAD0-SIG-127,55GAD0-MZH-4305:ZH-CRC,55GAD0-MZH-4305,Pneumatic shutter limit switch,D,O,P,24 V DC,55GAD0-CU-7301,unconfirmed,,,,
D1-N9-GAD0-SIG-128,55GAD0-MP-4302:JT-CRC,55GAD0-MP-4302,Pressure sensor at pneumatic shutter valves power,A,I,P,PT 100,55GAD0-CU-7301,unconfirmed,,,,
D1-N9-GAD0-SIG-129,55GAD0-MP-4302:JT-CRC,55GAD0-MP-4302,Pressure sensor at pneumatic shutter valves output,A,O,P,PT 100,55GAD0-CU-7301,unconfirmed,,,,
D1-N9-GAD0-SIG-130,55GAD0-MP-4301:JT-CRC,55GAD0-MP-4301,Pressure sensor at pneumatic shutter valves power,A,I,P,PT 100,55GAD0-CU-7301,unconfirmed,,,,
D1-N9-GAD0-SIG-131,55GAD0-MP-4301:JT-CRC,55GAD0-MP-4301,Pressure sensor at pneumatic shutter valves output,A,O,P,PT 100,55GAD0-CU-7301,unconfirmed,,,,
D1-N9-GAD0-SIG-132,55GAD0-PL-4401:YTRP-CCC,55GAD0-PL-4401,LO Level,A,O,P,24 V DC,55GAD0-CU-7301,unconfirmed,,,,
D1-N9-GAD0-SIG-133,55GAD0-PL-4401:CC-CCC,55GAD0-PL-4401,Relay 1 NO,A,I,P,24 V DC,55GAD0-CU-7301,unconfirmed,,,,
D1-N9-GAD0-SIG-134,55GAD0-PL-4401:CO-CCC,55GAD0-PL-4401,Relay 1 NC,A,I,P,24 V DC,55GAD0-CU-7301,unconfirmed,,,,
D1-N9-GAD0-SIG-135,55GAD0-PL-4401:YTRP-CCC,55GAD0-PL-4401,Relay 2,A,I,P,24 V DC,55GAD0-CU-7301,unconfirmed,,,,
D1-N9-GAD0-SIG-136,55GAD0-PL-4401: YREM-CCC,55GAD0-PL-4401,Remote Start,A,I,P,0 +10V,55GAD0-CU-7301,unconfirmed,,,,
D1-N9-GAD0-SIG-137,55GAD0-PL-4401: YREM-CCC,55GAD0-PL-4401,Remote Set Point,A,I,P,0 +10V,55GAD0-CU-7301,unconfirmed,,,,
D1-N9-GAD0-SIG-138,55GAD0-PL-4401: YTRP-CCC,55GAD0-PL-4401,Lo Flow,A,O,P,24 V DC,55GAD0-CU-7301,unconfirmed,,,,
